"No.","Time","Source","Destination","Protocol","Length","Info"
"77","2.471560009","10.0.0.2","10.0.0.1","TCP","66","34567  >  52142 [ACK] Seq=1 Ack=71553 Win=170496 Len=0 TSval=1359515 TSecr=1359473"
"78","2.501515457","10.0.0.1","10.0.0.2","TCP","2962","52142  >  34567 [ACK] Seq=74449 Ack=1 Win=29696 Len=2896 TSval=1359527 TSecr=1359502"
"79","2.502691081","10.0.0.2","10.0.0.1","TCP","66","34567  >  52142 [ACK] Seq=1 Ack=74449 Win=170496 Len=0 TSval=1359523 TSecr=1359491"
"80","2.548035665","10.0.0.1","10.0.0.2","TCP","2962","52142  >  34567 [ACK] Seq=77345 Ack=1 Win=29696 Len=2896 TSval=1359540 TSecr=1359515"
"81","2.578192037","10.0.0.1","10.0.0.2","TCP","2962","52142  >  34567 [ACK] Seq=80241 Ack=1 Win=29696 Len=2896 TSval=1359548 TSecr=1359523"
"82","2.657026875","10.0.0.2","10.0.0.1","TCP","66","34567  >  52142 [ACK] Seq=1 Ack=77345 Win=170496 Len=0 TSval=1359561 TSecr=1359527"
"83","2.703245028","10.0.0.2","10.0.0.1","TCP","66","34567  >  52142 [ACK] Seq=1 Ack=80241 Win=170496 Len=0 TSval=1359572 TSecr=1359540"
"84","2.731773131","10.0.0.1","10.0.0.2","TCP","2962","52142  >  34567 [ACK] Seq=83137 Ack=1 Win=29696 Len=2896 TSval=1359586 TSecr=1359561"
"85","2.731769536","10.0.0.2","10.0.0.1","TCP","66","34567  >  52142 [ACK] Seq=1 Ack=83137 Win=170496 Len=0 TSval=1359580 TSecr=1359548"
"86","2.777886632","10.0.0.1","10.0.0.2","TCP","2962","52142  >  34567 [ACK] Seq=86033 Ack=1 Win=29696 Len=2896 TSval=1359598 TSecr=1359572"
"87","2.806603112","10.0.0.1","10.0.0.2","TCP","2962","52142  >  34567 [ACK] Seq=88929 Ack=1 Win=29696 Len=2896 TSval=1359605 TSecr=1359580"
"88","2.885150742","10.0.0.2","10.0.0.1","TCP","66","34567  >  52142 [ACK] Seq=1 Ack=86033 Win=170496 Len=0 TSval=1359618 TSecr=1359586"
"89","2.930998197","10.0.0.2","10.0.0.1","TCP","66","34567  >  52142 [ACK] Seq=1 Ack=88929 Win=170496 Len=0 TSval=1359629 TSecr=1359598"
"90","2.957616282","10.0.0.2","10.0.0.1","TCP","66","34567  >  52142 [ACK] Seq=1 Ack=91825 Win=170496 Len=0 TSval=1359636 TSecr=1359605"
"91","2.961740994","10.0.0.1","10.0.0.2","TCP","2962","52142  >  34567 [ACK] Seq=91825 Ack=1 Win=29696 Len=2896 TSval=1359643 TSecr=1359618"
"92","3.006015254","10.0.0.1","10.0.0.2","TCP","2962","52142  >  34567 [ACK] Seq=94721 Ack=1 Win=29696 Len=2896 TSval=1359655 TSecr=1359629"
"93","3.032733349","10.0.0.1","10.0.0.2","TCP","2962","52142  >  34567 [ACK] Seq=97617 Ack=1 Win=29696 Len=2896 TSval=1359662 TSecr=1359636"
"94","3.045281498","10.0.0.1","10.0.0.2","TCP","1514","52142  >  34567 [ACK] Seq=100513 Ack=1 Win=29696 Len=1448 TSval=1359662 TSecr=1359636"
"95","3.116891183","10.0.0.2","10.0.0.1","TCP","66","34567  >  52142 [ACK] Seq=1 Ack=94721 Win=170496 Len=0 TSval=1359676 TSecr=1359643"
"96","3.157100773","10.0.0.2","10.0.0.1","TCP","66","34567  >  52142 [ACK] Seq=1 Ack=97617 Win=170496 Len=0 TSval=1359686 TSecr=1359655"
"97","3.189314863","10.0.0.2","10.0.0.1","TCP","66","34567  >  52142 [ACK] Seq=1 Ack=100513 Win=170496 Len=0 TSval=1359693 TSecr=1359662"
"98","3.194015712","10.0.0.1","10.0.0.2","TCP","2962","52142  >  34567 [ACK] Seq=101961 Ack=1 Win=29696 Len=2896 TSval=1359701 TSecr=1359676"
"99","3.248222680","10.0.0.2","10.0.0.1","TCP","66","34567  >  52142 [ACK] Seq=1 Ack=101961 Win=170496 Len=0 TSval=1359709 TSecr=1359662"
"100","3.264396282","10.0.0.1","10.0.0.2","TCP","2962","[TCP Previous segment not captured] 52142  >  34567 [ACK] Seq=107753 Ack=1 Win=29696 Len=2896 TSval=1359719 TSecr=1359693"
"101","3.310946535","10.0.0.1","10.0.0.2","TCP","1514","52142  >  34567 [ACK] Seq=110649 Ack=1 Win=29696 Len=1448 TSval=1359734 TSecr=1359709"
"102","3.347644988","10.0.0.2","10.0.0.1","TCP","66","34567  >  52142 [ACK] Seq=1 Ack=104857 Win=170496 Len=0 TSval=1359734 TSecr=1359701"
"103","3.427437810","10.0.0.1","10.0.0.2","TCP","2962","52142  >  34567 [ACK] Seq=112097 Ack=1 Win=29696 Len=2896 TSval=1359759 TSecr=1359734"
"104","3.427432065","10.0.0.2","10.0.0.1","TCP","78","[TCP Dup ACK 102#1] 34567  >  52142 [ACK] Seq=1 Ack=104857 Win=170496 Len=0 TSval=1359751 TSecr=1359701 SLE=107753 SRE=110649"
"105","3.467535018","10.0.0.2","10.0.0.1","TCP","78","[TCP Dup ACK 102#2] 34567  >  52142 [ACK] Seq=1 Ack=104857 Win=170496 Len=0 TSval=1359763 TSecr=1359701 SLE=107753 SRE=112097"
"106","3.489652092","10.0.0.1","10.0.0.2","TCP","1514","[TCP Out-Of-Order] 52142  >  34567 [ACK] Seq=104857 Ack=1 Win=29696 Len=1448 TSval=1359779 TSecr=1359751"
"107","3.530621917","10.0.0.1","10.0.0.2","TCP","1514","[TCP Out-Of-Order] 52142  >  34567 [ACK] Seq=106305 Ack=1 Win=29696 Len=1448 TSval=1359789 TSecr=1359763"
"108","3.580178471","10.0.0.2","10.0.0.1","TCP","78","[TCP Dup ACK 102#3] 34567  >  52142 [ACK] Seq=1 Ack=104857 Win=170496 Len=0 TSval=1359792 TSecr=1359701 SLE=107753 SRE=114993"
"109","3.644165813","10.0.0.2","10.0.0.1","TCP","78","34567  >  52142 [ACK] Seq=1 Ack=106305 Win=169472 Len=0 TSval=1359807 TSecr=1359779 SLE=107753 SRE=114993"
"110","3.654811590","10.0.0.1","10.0.0.2","TCP","2962","52142  >  34567 [ACK] Seq=114993 Ack=1 Win=29696 Len=2896 TSval=1359817 TSecr=1359792"
"111","3.683129092","10.0.0.2","10.0.0.1","TCP","66","34567  >  52142 [ACK] Seq=1 Ack=114993 Win=167936 Len=0 TSval=1359818 TSecr=1359789"
"112","3.757962405","10.0.0.1","10.0.0.2","TCP","2962","[TCP Previous segment not captured] 52142  >  34567 [ACK] Seq=120785 Ack=1 Win=29696 Len=2896 TSval=1359843 TSecr=1359818"
"113","3.808186936","10.0.0.2","10.0.0.1","TCP","66","34567  >  52142 [ACK] Seq=1 Ack=117889 Win=170496 Len=0 TSval=1359849 TSecr=1359817"
"114","3.909391674","10.0.0.2","10.0.0.1","TCP","78","[TCP Dup ACK 113#1] 34567  >  52142 [ACK] Seq=1 Ack=117889 Win=170496 Len=0 TSval=1359874 TSecr=1359817 SLE=120785 SRE=123681"
"115","3.972383356","10.0.0.1","10.0.0.2","TCP","1514","[TCP Out-Of-Order] 52142  >  34567 [ACK] Seq=117889 Ack=1 Win=29696 Len=1448 TSval=1359900 TSecr=1359874"
"116","4.125997414","10.0.0.2","10.0.0.1","TCP","78","34567  >  52142 [ACK] Seq=1 Ack=119337 Win=169472 Len=0 TSval=1359928 TSecr=1359900 SLE=120785 SRE=123681"
"117","4.188402588","10.0.0.1","10.0.0.2","TCP","1514","52142  >  34567 [ACK] Seq=123681 Ack=1 Win=29696 Len=1448 TSval=1359954 TSecr=1359928"
"118","4.200973673","10.0.0.1","10.0.0.2","TCP","1514","52142  >  34567 [ACK] Seq=125129 Ack=1 Win=29696 Len=1448 TSval=1359954 TSecr=1359928"
"119","4.342906546","10.0.0.2","10.0.0.1","TCP","78","[TCP Dup ACK 116#1] 34567  >  52142 [ACK] Seq=1 Ack=119337 Win=169472 Len=0 TSval=1359982 TSecr=1359900 SLE=120785 SRE=125129"
"120","4.355893646","10.0.0.2","10.0.0.1","TCP","78","[TCP Dup ACK 116#2] 34567  >  52142 [ACK] Seq=1 Ack=119337 Win=169472 Len=0 TSval=1359985 TSecr=1359900 SLE=120785 SRE=126577"
"121","4.405968577","10.0.0.1","10.0.0.2","TCP","1514","52142  >  34567 [ACK] Seq=126577 Ack=1 Win=29696 Len=1448 TSval=1360008 TSecr=1359982"
"122","4.418279007","10.0.0.1","10.0.0.2","TCP","1514","52142  >  34567 [ACK] Seq=128025 Ack=1 Win=29696 Len=1448 TSval=1360011 TSecr=1359985"
